"Access","Start Time (UTCG)","Stop Time (UTCG)","Duration (sec)"
301,7 Oct 2021 03:47:14.062,7 Oct 2021 03:53:45.605,391.543
302,7 Oct 2021 05:23:30.626,7 Oct 2021 05:29:56.469,385.842
303,7 Oct 2021 07:00:19.913,7 Oct 2021 07:04:42.116,262.202
304,8 Oct 2021 01:15:35.759,8 Oct 2021 01:21:31.976,356.217
305,8 Oct 2021 02:51:21.260,8 Oct 2021 02:57:52.959,391.699
306,8 Oct 2021 04:27:38.859,8 Oct 2021 04:34:10.604,391.745
307,8 Oct 2021 06:03:59.008,8 Oct 2021 06:09:58.908,359.900
308,9 Oct 2021 00:20:57.710,9 Oct 2021 00:25:07.485,249.774
309,9 Oct 2021 01:55:36.355,9 Oct 2021 02:02:01.100,384.745
310,9 Oct 2021 03:31:46.095,9 Oct 2021 03:38:17.646,391.551
311,9 Oct 2021 05:08:02.794,9 Oct 2021 05:14:30.545,387.751
312,9 Oct 2021 06:44:44.474,9 Oct 2021 06:49:29.310,284.836
313,10 Oct 2021 01:00:14.763,10 Oct 2021 01:06:02.123,347.360
314,10 Oct 2021 02:35:53.759,10 Oct 2021 02:42:25.258,391.499
315,10 Oct 2021 04:12:11.108,10 Oct 2021 04:18:42.884,391.775
316,10 Oct 2021 05:48:29.854,10 Oct 2021 05:54:36.560,366.706
317,11 Oct 2021 00:05:49.453,11 Oct 2021 00:09:28.262,218.809
318,11 Oct 2021 01:40:11.121,11 Oct 2021 01:46:33.087,381.965
319,11 Oct 2021 03:16:18.122,11 Oct 2021 03:22:49.713,391.591
320,11 Oct 2021 04:52:35.036,11 Oct 2021 04:59:04.223,389.187
321,11 Oct 2021 06:29:10.709,11 Oct 2021 06:34:14.321,303.612
322,12 Oct 2021 00:44:54.825,12 Oct 2021 00:50:31.677,336.852
323,12 Oct 2021 02:20:26.455,12 Oct 2021 02:26:57.580,391.125
324,12 Oct 2021 03:56:43.317,12 Oct 2021 04:03:15.059,391.742
325,12 Oct 2021 05:33:01.061,12 Oct 2021 05:39:13.425,372.364
326,12 Oct 2021 07:11:00.643,12 Oct 2021 07:12:26.127,85.484
327,12 Oct 2021 23:50:46.197,12 Oct 2021 23:53:44.559,178.362
328,13 Oct 2021 01:24:46.429,13 Oct 2021 01:31:04.898,378.469
329,13 Oct 2021 03:00:50.163,13 Oct 2021 03:07:21.816,391.653
330,13 Oct 2021 04:37:07.329,13 Oct 2021 04:43:37.551,390.222
331,13 Oct 2021 06:13:38.217,13 Oct 2021 06:18:57.564,319.347
332,14 Oct 2021 00:29:36.102,14 Oct 2021 00:35:00.485,324.383
333,14 Oct 2021 02:04:59.389,14 Oct 2021 02:11:29.900,390.511
334,14 Oct 2021 03:41:15.480,14 Oct 2021 03:47:47.154,391.674
335,14 Oct 2021 05:17:32.560,14 Oct 2021 05:23:49.578,377.018
336,14 Oct 2021 06:55:00.227,14 Oct 2021 06:57:40.316,160.089
337,14 Oct 2021 23:35:52.780,14 Oct 2021 23:37:51.555,118.776
338,15 Oct 2021 01:09:22.347,15 Oct 2021 01:15:36.493,374.145
339,15 Oct 2021 02:45:22.242,15 Oct 2021 02:51:53.961,391.719
340,15 Oct 2021 04:21:39.650,15 Oct 2021 04:28:10.583,390.934
341,15 Oct 2021 05:58:06.726,15 Oct 2021 06:03:39.322,332.596
342,16 Oct 2021 00:14:18.781,16 Oct 2021 00:19:28.383,309.601
343,16 Oct 2021 01:49:32.604,16 Oct 2021 01:56:02.207,389.603
344,16 Oct 2021 03:25:47.600,16 Oct 2021 03:32:19.211,391.611
